address,original_name,role,current_surface,status,evidence,next_action
0x0043d0e0,FUN_0043d0e0,option-shot-effect,Player::OptionShotEffectCallback,comparable,reference/ghidra/decomp/functions/0043d0e0_FUN_0043d0e0.c;src/Player.cpp;src/Player.hpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,wire SHT collision callback dispatch after live TH07 shot-slot layout replaces the transitional PlayerBullet shape
0x0043d160,FUN_0043d160,shot-spawn,Player::SpawnBullets,comparable,reference/ghidra/decomp/functions/0043d160_FUN_0043d160.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,wire raw 0x364-byte TH07 shot slots into live runtime after transitional PlayerBullet layout is replaced
0x0043d2f0,FUN_0043d2f0,shot-update,Player::UpdatePlayerBullets,comparable,reference/ghidra/decomp/functions/0043d2f0_FUN_0043d2f0.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,wire raw 0x364-byte TH07 shot update/draw/collision slot layout into live runtime after transitional PlayerBullet layout is replaced
0x0043d690,FUN_0043d690,shot-draw-active,Player::DrawBullets,comparable,reference/ghidra/decomp/functions/0043d690_FUN_0043d690.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,wire raw TH07 shot-slot draw path into live runtime after transitional PlayerBullet layout is replaced
0x0043d790,FUN_0043d790,shot-draw-collided,Player::DrawBulletExplosions,comparable,reference/ghidra/decomp/functions/0043d790_FUN_0043d790.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,continue objdiff shape convergence for collided shot draw while preserving source-derived raw slot behavior
0x0043d880,FUN_0043d880,fire-timer-update,Player::UpdateFireBulletsTimer,comparable,reference/ghidra/decomp/functions/0043d880_FUN_0043d880.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,replace live fire timer storage after TH07 shot-slot runtime and replay input gates are wired
0x0043d990,FUN_0043d990,fire-timer-start,Player::StartFireBulletTimer,comparable,reference/ghidra/decomp/functions/0043d990_FUN_0043d990.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,replace live fire timer storage after TH07 shot-slot runtime and replay input gates are wired
0x0043d9e0,FUN_0043d9e0,damage-to-enemy,Player::CalcDamageToEnemy,comparable,reference/ghidra/decomp/functions/0043d9e0_FUN_0043d9e0.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,wire raw shot damage and bomb-region damage path into live runtime after the TH07 shot-slot and bomb active flag owners replace the transitional PlayerBullet/BombInfo layout
0x0043e0a0,FUN_0043e0a0,bomb-collision-slots,Player::CalcBombCollision,comparable,reference/ghidra/decomp/functions/0043e0a0_FUN_0043e0a0.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,continue objdiff convergence and replace live bomb producers before removing legacy fallback
0x0043e260,FUN_0043e260,kill-box-collision,Player::CalcKillBoxCollision,comparable,reference/ghidra/decomp/functions/0043e260_FUN_0043e260.c;src/Player.cpp;src/PlayerLayout.hpp;tests/test_player_layout.cpp,replace death mode side effects and legacy playerState gate after mode runtime is live
